0,1,2,3,4,5,6,7,8,9
0.0,0.03520220028274894,0.04204957017162457,0.0,0.0,0.04002280525218139,0.0,0.0,0.0,0.0
0.7040440056549788,0.0,0.017395535041373693,0.03867951859298363,0.003409553098442891,0.0,0.04260907776206564,0.0,0.0,0.02055901369233426
0.8409914034324915,0.3479107008274739,0.0,0.0,0.0,0.013911061473569164,0.0,0.02903608462029606,0.0,0.005569364665017634
0.0,0.7735903718596726,0.0,0.0,0.0,0.0,0.042440336563584743,0.0,0.0,0.0
0.0,0.06819106196885782,0.0,0.0,0.0,0.0,0.0021589606269502406,0.0,0.012363114581920182,0.0
0.8004561050436277,0.0,0.2782212294713833,0.0,0.0,0.0,0.04295851389866658,0.0,0.0,0.03875013005604755
0.0,0.8521815552413129,0.0,0.8488067312716949,0.04317921253900481,0.8591702779733317,0.0,0.00563478661825782,0.0,0.027829435224672894
0.0,0.0,0.5807216924059212,0.0,0.0,0.0,0.1126957323651564,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.24726229163840363,0.0,0.0,0.0,0.0,0.0
0.0,0.4111802738466852,0.11138729330035269,0.0,0.0,0.775002601120951,0.5565887044934579,0.0,0.0,0.0
